# Program settings for SigmaNu
# Electroweak scheme and input parameters
# Scheme = Complex mass scheme
# alpha_GF = 0.00755898078237864
# Pole masses/widths for particles [GeV]
# mw = 80.35797361
# gw = 2.084298894
# mz = 91.15348062
# gz = 2.494266379
# s^2_thetaw (derived) = (0.222868505240788,-0.00110716741475141)
# charged leptons
# m_e = 0.0005109989461
# m_m = 0.10565837
# m_t = 1.77686
# quarks
# m_d = 0
# m_u = 0
# m_s = 0.2
# m_c = 1.51
# m_b = 4.92
# m_t = 173

# channel_id = 102
# process  = nu gamma -> nu mu- mu+
# Ecms	sigma[pb]	sigma_error[pb]
1e-12	0	1.57013171246727e-18
3.29034456231267e-12	0	1.57013171246727e-18
1.08263673387405e-11	0	1.57013171246727e-18
3.56224789026243e-11	0	1.57013171246727e-18
1.17210229753347e-10	0	1.57013171246727e-18
3.85662042116344e-10	0	1.57013171246727e-18
1.26896100316791e-09	0	1.57013171246727e-18
4.17531893656036e-09	0	1.57013171246727e-18
1.37382379588325e-08	0	1.57013171246727e-18
4.52035365636018e-08	0	1.57013171246727e-18
1.48735210729349e-07	0	1.57013171246727e-18
4.89390091847743e-07	0	1.57013171246727e-18
1.61026202756092e-06	0	1.57013171246727e-18
5.29831690628364e-06	0	1.57013171246727e-18
1.74332882219997e-05	0	1.57013171246727e-18
5.73615251044861e-05	0	1.57013171246727e-18
0.000188739182213507	0	1.57013171246727e-18
0.000621016941891554	0	1.57013171246727e-18
0.00204335971785692	0	1.57013171246727e-18
0.00672335753649925	0	1.57013171246727e-18
0.0221221629107042	0	1.57013171246727e-18
0.0727895384398306	0	1.57013171246727e-18
0.239502661998746	3.1313744792266e-10	2.92485279111321e-13
0.788046281566982	1.174946293677e-06	1.14585768162666e-09
2.59294379740464	2.95911741070909e-05	2.69492061253517e-08
8.5316785241727	0.00050774793043569	4.89955050321612e-07
28.0721620394114	0.00723210364264858	6.87742690134074e-06
92.3670857187375	0.0671254961949646	9.31110697316565e-05
303.919538231316	0.225958569405851	0.000489557677344084
999.999999999988	0.345618144545331	0.00100469343200028
